"filename", "language", "Python", "CSV", "Markdown", "HTML", "comment", "blank", "total"
"f:\githubclone\teaching-skill-result\README.md", "Markdown", 0, 0, 14, 0, 0, 8, 22
"f:\githubclone\teaching-skill-result\draw_charts.py", "Python", 134, 0, 0, 0, 18, 21, 173
"f:\githubclone\teaching-skill-result\index.html", "HTML", 0, 0, 0, 2010, 9, 238, 2257
"f:\githubclone\teaching-skill-result\sankey_diagram.html", "HTML", 0, 0, 0, 3316, 0, 569, 3885
"f:\githubclone\teaching-skill-result\新建 XLSX 工作表.csv", "CSV", 0, 27, 0, 0, 0, 1, 28
"f:\githubclone\teaching-skill-result\绘图解读.md", "Markdown", 0, 0, 206, 0, 0, 81, 287
"Total", "-", 134, 27, 220, 5326, 27, 918, 6652
